path,sumber,label_asli,prediksi,confidence
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1004_DFA_SAD_XX.wav,cremad,sedih,takut,0.7677992582321167
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1086_MTI_HAP_XX.wav,cremad,senang,marah,0.775326132774353
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1062_IWL_ANG_XX.wav,cremad,marah,takut,0.8767897486686707
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1017_TAI_DIS_XX.wav,cremad,jijik,marah,0.6305199861526489
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1062_TSI_HAP_XX.wav,cremad,senang,takut,0.7688071131706238
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1056_ITH_DIS_XX.wav,cremad,jijik,marah,0.957522988319397
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1069_ITS_SAD_XX.wav,cremad,sedih,takut,0.9747570157051086
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1010_IWL_SAD_XX.wav,cremad,sedih,takut,0.8154159784317017
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1071_TIE_SAD_XX.wav,cremad,sedih,takut,0.7181180715560913
/kaggle/input/datasets/ahmadnafibudianto/e-seravd-speech-emotion-recognition-av-dataset/E-SERAVD 1.1/E-SERAVD/02_Audio-Only/01_Angry/D1990/02-01-D1990-T-0002.wav,eseravd,marah,netral,0.6302517652511597
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1057_TIE_NEU_XX.wav,cremad,netral,takut,0.7444155812263489
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1003_DFA_SAD_XX.wav,cremad,sedih,takut,0.870445728302002
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1062_IEO_HAP_HI.wav,cremad,senang,marah,0.6198021769523621
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1090_IEO_ANG_LO.wav,cremad,marah,jijik,0.8241221308708191
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1087_TSI_ANG_XX.wav,cremad,marah,jijik,0.6375216841697693
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1051_IOM_SAD_XX.wav,cremad,sedih,netral,0.767244815826416
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1042_IEO_SAD_MD.wav,cremad,sedih,takut,0.9537505507469177
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1070_TAI_FEA_XX.wav,cremad,takut,jijik,0.9648799300193787
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1002_IEO_HAP_LO.wav,cremad,senang,takut,0.8637081980705261
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1077_MTI_SAD_XX.wav,cremad,sedih,marah,0.7317243814468384
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1031_TAI_HAP_XX.wav,cremad,senang,takut,0.740513265132904
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1028_IWL_HAP_XX.wav,cremad,senang,takut,0.61799156665802
/kaggle/input/datasets/elnathh/indowavesentiment/IndoWaveSentiment Indonesian Audio Dataset for Emotion Classification/IndoWaveSentiment/Actor_04/04-01-02-02.wav,indowavesentiment,netral,sedih,0.6563663482666016
/kaggle/input/datasets/uwrfkaggler/ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-01-01-02-20.wav,ravdess,marah,senang,0.9090319871902466
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1087_TSI_SAD_XX.wav,cremad,sedih,jijik,0.6804106831550598
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1032_IEO_NEU_XX.wav,cremad,netral,takut,0.6440247893333435
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1013_IEO_SAD_MD.wav,cremad,sedih,jijik,0.6984615325927734
/kaggle/input/datasets/elnathh/indowavesentiment/IndoWaveSentiment Indonesian Audio Dataset for Emotion Classification/IndoWaveSentiment/Actor_10/10-04-01-02.wav,indowavesentiment,jijik,sedih,0.814698338508606
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1074_IOM_SAD_XX.wav,cremad,sedih,netral,0.6802815794944763
/kaggle/input/datasets/elnathh/indowavesentiment/IndoWaveSentiment Indonesian Audio Dataset for Emotion Classification/IndoWaveSentiment/Actor_04/04-04-01-02.wav,indowavesentiment,jijik,sedih,0.9412388801574707
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1003_ITH_SAD_XX.wav,cremad,sedih,takut,0.8954369425773621
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1071_IEO_HAP_LO.wav,cremad,senang,takut,0.7143389582633972
/kaggle/input/datasets/ejlok1/cremad/AudioWAV/1088_IOM_HAP_XX.wav,cremad,senang,netral,0.7604081034660339
/kaggle/input/datasets/elnathh/indowavesentiment/IndoWaveSentiment Indonesian Audio Dataset for Emotion Classification/IndoWaveSentiment/Actor_06/06-02-01-01.wav,indowavesentiment,senang,netral,0.8394137024879456
